# event jet Delta kt z psi m2 multiplicity 
7 0 0.133943 0.137063 0.0011947 0.589445 326.938 19
7 0 0.10963 0.663662 0.00707615 1.76431 310.791 17
7 0 0.0690454 1.08639 0.0185226 2.52423 243.325 15
7 0 0.0629426 2.12842 0.0405573 0.957656 147.301 12
7 0 0.0143537 1.26429 0.110108 0.723162 20.0338 7
7 0 0.00970933 0.0644336 0.00932228 -1.98371 6.17436 6
7 0 0.00881174 0.21173 0.0340712 -0.226131 5.67971 5
7 0 0.00568866 1.5865 0.409402 1.57943 3.70632 4
7 0 0.000741246 0.0857538 0.287554 -2.75033 0.0182196 2
7 1 0.277273 2.79525 0.0162764 -2.20946 1581.38 34
7 1 0.244941 0.0324782 0.000217621 -0.133205 1046.64 29
7 1 0.185217 2.49116 0.0220729 2.64295 1041.22 27
7 1 0.146309 6.06835 0.069604 1.55933 722.532 24
7 1 0.0915002 0.815062 0.0160666 -2.20397 154.208 16
7 1 0.0559161 0.780016 0.0255715 1.26834 96.162 14
7 1 0.0488655 0.771336 0.0296942 2.44849 70.4085 12
7 1 0.0392903 0.474359 0.0234067 -2.21715 41.4875 11
7 1 0.0289225 0.202408 0.0138929 0.318646 21.1774 10
7 1 0.0203987 0.217718 0.0214867 -1.01019 16.6332 9
7 1 0.0144699 0.593036 0.0843184 0.403418 13.2762 8
7 1 0.0121119 0.727585 0.134968 -2.37116 6.98486 6
7 1 0.0047652 0.475096 0.258958 -2.05882 1.5451 5
7 1 0.00414396 0.559751 0.473441 2.66568 0.610587 4
7 1 0.00255215 0.142439 0.371503 0.961948 0.117754 2
7 2 0.384581 2.54043 0.172612 0.250075 67.9677 18
7 2 0.337562 1.75746 0.164179 -1.11524 24.1934 12
7 2 0.21911 0.104236 0.017946 0.949501 2.58972 7
7 2 0.0853671 0.788524 0.35452 -3.05096 1.95805 6
7 2 0.0762746 0.154112 0.120111 0.467673 0.411314 4
7 2 0.01171 0.0171901 0.0991788 0.594369 0.198701 2
7 3 0.350478 0.810136 0.0825463 -0.295539 26.8547 14
7 3 0.261437 0.662514 0.0985012 0.82782 13.8059 11
7 3 0.215799 0.243693 0.0486407 2.91379 3.6587 7
7 3 0.12445 0.186176 0.0677245 2.03152 1.99873 6
7 3 0.0916415 0.722723 0.382884 1.10646 1.14826 5
7 3 0.0842931 0.138945 0.129641 2.60892 0.159242 3
7 3 0.0187619 0.021809 0.105039 -1.2551 0.0258189 2
8 0 0.396705 0.159211 0.00102683 -1.72242 369.023 18
8 0 0.261276 1.03499 0.0101433 -2.49318 323.808 17
8 0 0.164347 0.0652125 0.00102645 0.7307 154.662 15
8 0 0.107774 1.35765 0.0326204 -1.61537 150.369 14
8 0 0.0861188 0.62456 0.0194119 -2.72608 85.4183 12
8 0 0.0415172 0.645821 0.0424602 -2.34838 25.18 10
8 0 0.0336044 0.514234 0.043621 0.131271 14.693 8
8 0 0.0156859 1.34265 0.25512 2.83966 8.0807 7
8 0 0.0114902 0.242309 0.0843809 0.361659 2.00708 5
8 0 0.00990973 0.06586 0.0290434 -2.33561 1.04301 4
8 0 0.00691845 0.410464 0.267027 2.04269 0.871916 3
8 0 0.00524818 0.050941 0.0596018 1.10828 0.300111 2
8 1 0.38975 0.18842 0.00177804 -0.286098 602.486 31
8 1 0.331764 1.29948 0.0144314 -1.7267 570.901 30
8 1 0.183096 5.66104 0.115413 2.76799 379.237 26
8 1 0.0701266 1.48037 0.0890801 1.4227 50.3524 15
8 1 0.0686055 0.0507829 0.00342903 -2.06951 23.7058 12
8 1 0.0461703 1.29674 0.130542 2.7108 22.8773 11
8 1 0.0260343 0.995616 0.204433 -2.11313 10.0328 9
8 1 0.0183384 0.343279 0.125779 2.68993 3.34467 5
8 1 0.00901327 0.285732 0.243654 0.247428 0.514187 4
8 1 0.0077833 0.0277548 0.0362369 2.85262 0.136752 3
8 1 0.00389121 0.176473 0.478189 -0.42255 0.112051 2
8 2 0.378603 0.472175 0.0137424 1.32773 117.523 28
8 2 0.298057 0.270929 0.010155 -1.17159 98.156 25
8 2 0.223888 0.0939353 0.00473495 0.482749 90.0084 24
8 2 0.165653 0.602607 0.0412487 -1.70991 87.7396 23
8 2 0.146679 0.209569 0.0168971 2.04355 44.2572 20
8 2 0.125383 3.22609 0.309113 -2.65905 40.7034 18
8 2 0.100248 0.179223 0.0310864 0.917126 7.9531 12
8 2 0.0778722 0.0248214 0.00572011 -0.812049 6.73102 10
8 2 0.0673314 1.63018 0.436804 -2.63244 6.586 9
8 2 0.045119 0.280891 0.199422 2.03184 0.510401 5
8 2 0.0188096 0.0869239 0.184902 0.607435 0.151003 3
8 2 0.00751353 0.0475962 0.310957 -1.51576 0.0959334 2
8 3 0.279343 0.15841 0.00714322 1.14139 109.345 29
8 3 0.217062 1.31382 0.0767479 2.19817 105.065 28
8 3 0.215215 0.976731 0.0622595 -2.72626 69.8117 24
8 3 0.172112 0.202214 0.0171836 0.170033 30.3655 19
8 3 0.119528 0.964921 0.120133 -1.56308 25.7838 17
8 3 0.110904 0.679096 0.103513 2.76588 15.0188 13
8 3 0.0816751 0.361946 0.0835432 0.0454989 6.09773 11
8 3 0.0595531 1.3682 0.472565 1.1788 3.84212 9
8 3 0.05758 0.237443 0.160788 2.75211 0.871819 6
8 3 0.0353488 0.309085 0.406251 -1.37527 0.484741 5
8 3 0.0258871 0.128247 0.387635 0.442534 0.0334338 3
8 4 0.315461 0.984816 0.0477518 -2.80549 98.1171 20
8 4 0.282883 0.958607 0.0544085 1.082 67.4021 15
8 4 0.20026 0.0221909 0.00188146 -0.240661 47.8693 12
8 4 0.133581 3.37278 0.429111 -2.28404 39.5365 11
8 4 0.130185 0.299779 0.0685402 2.14646 11.6961 7
8 4 0.128548 0.084837 0.0210866 0.538259 8.34731 5
8 4 0.0642992 0.459074 0.232955 2.82271 6.9446 4
8 4 0.0541072 0.271552 0.213488 1.5576 4.40841 2
8 5 0.30089 0.087717 0.0142545 -0.516513 23.7705 12
8 5 0.284306 0.495329 0.0863076 -2.26732 22.9101 11
8 5 0.225579 1.52819 0.367042 1.92151 7.19487 9
8 5 0.146511 0.820972 0.478825 0.643407 1.16725 3
8 5 0.117951 0.142776 0.198248 3.05273 0.204678 2
9 0 0.348863 0.225809 0.00106597 -0.781731 621.267 33
9 0 0.222673 0.893821 0.00661662 0.202829 545.438 31
9 0 0.172475 0.285012 0.00274191 -3.12337 361.712 26
9 0 0.152391 1.23174 0.0134482 -1.20388 324.254 25
